Local time;Download (Rx) bandwidth (bps);Download bandwidth;Rx packet loss (percent);Upload (Tx) bandwidth (bps);Upload bandwidth;Tx packet loss (percent);RTT (ping) (ms);Rx packet loss burst length (packets);Tx packet loss burst length (packets);Rx instant jitter (ms);Tx instant jitter (ms);Rx RFC3550 jitter (ms);Tx RFC3550 jitter (ms)
2021-03-18 06:37;23054588;21.99Mbps/100.00Mbps;1.527525;46184360;44.04Mbps/100.00Mbps;0.00083715096;220;3.79975;1.0230963;38.4773;108.8889;8.776012;13.492327
2021-03-18 06:37;24759808;23.61Mbps/100.00Mbps;1.8687414;49089760;46.82Mbps/100.00Mbps;0.00092185964;220;3.7997494;1.0230964;35.356;74.5199;8.981394;13.722155
2021-03-18 06:37;24183084;23.06Mbps/100.00Mbps;2.3144732;48037028;45.81Mbps/100.00Mbps;0.0012276224;321;3.7997503;1.0230968;159.62799;386.1499;16.264261;33.280067
2021-03-18 06:37;25922242;24.72Mbps/100.00Mbps;1.0910573;49950628;47.64Mbps/100.00Mbps;0.0015464813;275;2.5876813;1.0230963;54.4134;54.281097;8.674158;11.447552
2021-03-18 06:37;25563188;24.38Mbps/100.00Mbps;1.333266;49019816;46.75Mbps/100.00Mbps;0.0018723056;193;2.587683;1.0230968;27.4072;61.103798;7.612925;11.447552
2021-03-18 06:37;23911098;22.80Mbps/100.00Mbps;1.6427692;45701496;43.58Mbps/100.00Mbps;0.0020740775;193;2.587683;1.0230966;65.195595;53.3522;10.02866;11.331772
2021-03-18 06:37;23907652;22.80Mbps/100.00Mbps;2.0139341;46358180;44.21Mbps/100.00Mbps;0.0028227968;220;2.5876834;1.0230973;55.2403;119.4554;8.422384;14.849524
2021-03-18 06:37;23476180;22.39Mbps/100.00Mbps;2.4860473;47804640;45.59Mbps/100.00Mbps;0.003104312;220;2.587684;1.0230975;56.437;101.50729;15.105181;17.28677
2021-03-18 06:37;21604028;20.60Mbps/100.00Mbps;1.34157;44660148;42.59Mbps/100.00Mbps;0.0005152576;306.0956;2.5141346;1;79.0364;107.3883;12.118242;19.687843
2021-03-18 06:37;21731598;20.72Mbps/100.00Mbps;1.6108361;44996136;42.91Mbps/100.00Mbps;0.0005597025;155;2.5141346;1;34.7157;107.3883;8.0009365;19.687843
2021-03-18 06:37;21768512;20.76Mbps/100.00Mbps;1.970269;45820428;43.70Mbps/100.00Mbps;0.00067707937;149;2.5141373;1;31.73;48.1469;7.5623527;11.742469
2021-03-18 06:37;20054332;19.13Mbps/100.00Mbps;2.416083;41626968;39.70Mbps/100.00Mbps;0.00078008213;149;2.5141356;1;74.006096;99.331795;15.479424;15.531912
2021-03-18 06:37;19955214;19.03Mbps/100.00Mbps;1.4669123;37538740;35.80Mbps/100.00Mbps;0.0010453387;331;1.9342473;1;59.6213;425.12418;11.503909;35.10492
2021-03-18 06:37;20756114;19.79Mbps/100.00Mbps;1.406035;37230324;35.51Mbps/100.00Mbps;0.0012857805;197;2.0131855;1;49.8878;83.0737;10.457691;18.11896
2021-03-18 06:37;23110070;22.04Mbps/100.00Mbps;1.7019496;42892776;40.91Mbps/100.00Mbps;0.0018380459;197;2.0131843;1;53.8699;79.9634;12.924761;14.74711
2021-03-18 06:37;24128176;23.01Mbps/100.00Mbps;0.13955009;41953460;40.01Mbps/100.00Mbps;0.0018380459;297;1.1495805;1;47.8027;290.36368;9.128866;24.38863
