Local time;Download (Rx) bandwidth (bps);Download bandwidth;Rx packet loss (percent);Upload (Tx) bandwidth (bps);Upload bandwidth;Tx packet loss (percent);RTT (ping) (ms);Rx packet loss burst length (packets);Tx packet loss burst length (packets);Rx instant jitter (ms);Tx instant jitter (ms);Rx RFC3550 jitter (ms);Tx RFC3550 jitter (ms)
2021-03-18 06:27;96563704;92.09Mbps/100.00Mbps;2.3725145E-06;104784200;99.93Mbps/100.00Mbps;2.0765948;41;1;1.000496;21.0963;15.1741;5.2863145;4.5107203
2021-03-18 06:27;93663210;89.32Mbps/100.00Mbps;7.841624E-06;104759010;99.91Mbps/100.00Mbps;3.2454572;41;1;1.0699645;24.022;15.1741;4.3101563;4.2998886
2021-03-18 06:27;90605800;86.41Mbps/100.00Mbps;1.6829912E-05;102581144;97.83Mbps/100.00Mbps;4.314209;41;1;1.0930482;14.1557;33.917698;4.0418973;4.923831
2021-03-18 06:27;91218704;86.99Mbps/100.00Mbps;0.02512696;103815810;99.01Mbps/100.00Mbps;3.3366103;56;1.144346;1.1904067;8.6479;19.2791;4.5451665;4.826866
2021-03-18 06:27;91239030;87.01Mbps/100.00Mbps;0.03063727;104462950;99.62Mbps/100.00Mbps;2.735196;68;1.1443458;1.003229;21.5668;12.4279995;4.561398;3.7584517
2021-03-18 06:27;89177360;85.05Mbps/100.00Mbps;0.037360385;101829744;97.11Mbps/100.00Mbps;3.094023;54;1.1443459;1.0032291;28.6104;18.0079;6.394483;4.804373
2021-03-18 06:27;90891320;86.68Mbps/100.00Mbps;0.045928326;101689210;96.98Mbps/100.00Mbps;4.0287795;53;1.1443458;1.0032296;17.045;40.6867;5.2423325;6.267055
2021-03-18 06:27;90693150;86.49Mbps/100.00Mbps;0.056022942;103734784;98.93Mbps/100.00Mbps;4.562916;52;1.1443452;1.0032295;10.3875;13.8635;4.025627;3.8159428
2021-03-18 06:27;90403010;86.22Mbps/100.00Mbps;0.06886474;104083970;99.26Mbps/100.00Mbps;1.9733326;52;1.1443447;1.0095192;12.7738;12.0373;4.669467;6.9017997
2021-03-18 06:27;89350944;85.21Mbps/100.00Mbps;0.084146865;104156176;99.33Mbps/100.00Mbps;2.5803332;45;1.1443443;1.00952;35.019897;15.6707;6.8988576;4.040351
2021-03-18 06:27;91091104;86.87Mbps/100.00Mbps;0.10348424;104845536;99.99Mbps/100.00Mbps;2.8913724;45;1.1443443;1.0095205;33.517;18.6936;8.134343;4.736247
2021-03-18 06:27;92237016;87.96Mbps/100.00Mbps;0.12649176;104841280;99.98Mbps/100.00Mbps;2.8085701;48;1.144344;1.0127484;25.0495;29.432798;7.887789;6.6607165
2021-03-18 06:27;94173370;89.81Mbps/100.00Mbps;0.1553088;104841150;99.98Mbps/100.00Mbps;2.2826395;48;1.1443441;1.0176464;19.365099;21.4294;6.530283;5.1247816
2021-03-18 06:27;93073920;88.76Mbps/100.00Mbps;0.18990867;104847144;99.99Mbps/100.00Mbps;1.0933969;58;1.1443443;1.0490309;32.4845;16.7883;7.995514;4.5396614
2021-03-18 06:27;93073744;88.76Mbps/100.00Mbps;0.23225343;104797216;99.94Mbps/100.00Mbps;1.3971238;43;1.1443448;1.049031;33.639;16.918499;7.4395094;5.230404
2021-03-18 06:27;91805890;87.55Mbps/100.00Mbps;0.28480408;104843856;99.99Mbps/100.00Mbps;1.5971138;43;1.1443446;1.0490313;15.4602995;22.4019;7.8606644;4.577927
2021-03-18 06:27;90061550;85.89Mbps/100.00Mbps;0.3485195;102909750;98.14Mbps/100.00Mbps;1.8249303;34;1.1443441;1.0490313;36.8444;23.053099;7.9346275;5.659775
2021-03-18 06:27;92096720;87.83Mbps/100.00Mbps;0.428468;102334360;97.59Mbps/100.00Mbps;2.345318;34;1.1443446;1.049032;24.5857;20.8781;7.3270082;5.767785
2021-03-18 06:27;92927616;88.62Mbps/100.00Mbps;0.30231372;102520864;97.77Mbps/100.00Mbps;1.2971638;37;1.2793419;1.1192799;26.9653;36.758698;8.708849;7.3754373
